COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5501,OLAYA,0.0,0.06543467521218478,,estable,BAJA,,,sin_datos,0.742197183224452,DEFICIT,NORMAL,0.09183673469387756,0.0,1.0,estable,1,6.705688098341972,0,1
5,ANTIOQUIA,5541,PEÑOL,0.06876790830945559,0.1067592518001844,1.552457453261015,estable,ALTA,1.8785885167464116,0.956688596491228,NORMAL,1.2189491822088052,EXCESO,MODERADA,0.08571428571428572,0.15384615384615385,0.0,estable,1,9.406304419163078,2,1
5,ANTIOQUIA,5543,PEQUE,0.08450704225352113,0.09302330733782346,1.1007758034975776,estable,MODERADA,0.9979919678714859,0.40804597701149425,DEFICIT,,sin_datos,LEVE,0.07575757575757576,0.0,0.0,estable,1,19.097321517755915,1,1
5,ANTIOQUIA,5576,PUEBLORRICO,0.04951856946354883,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.11428571428571428,0.0,14.0,sin_datos,1,7.979138804026893,2,1
5,ANTIOQUIA,5579,PUERTO BERRÍO,0.03305785123966942,0.04788699321806283,1.4485815448464006,creciente,MODERADA,1.6805555555555554,1.8520408163265305,EXCESO,,sin_datos,NORMAL,0.09895833333333333,0.0,2.0,estable,1,14.11621198192083,0,1
5,ANTIOQUIA,5585,PUERTO NARE,0.11428571428571428,0.1726190476190476,3.13673469387755,insuficiente,MODERADA,,,sin_datos,,sin_datos,ALTA,0.10256410256410256,0.0,0.0,insuficiente,2,14.224332025908122,3,1
5,ANTIOQUIA,5591,PUERTO TRIUNFO,0.04953560371517028,,,sin_datos,BAJA,,,sin_datos,,sin_datos,NORMAL,0.1,0.0,0.0,sin_datos,1,10.484810759025162,0,1
5,ANTIOQUIA,5604,REMEDIOS,0.06857142857142857,0.12346793291970824,1.800574021745745,estable,ALTA,2.5332550860719873,1.8696581196581195,EXCESO,1.1555075299273339,EXCESO,NORMAL,0.088,0.0625,0.0,estable,1,17.493610722648288,0,1
5,ANTIOQUIA,5607,RETIRO,0.039240506329113925,0.2038200489275758,5.194123827509189,estable,MODERADA,8.904003109211038,0.9801488833746899,NORMAL,,sin_datos,MODERADA,0.10256410256410256,0.0,0.0,estable,1,1.0227541326802154,2,1
5,ANTIOQUIA,5615,RIONEGRO,0.08659217877094973,0.0880398522053501,1.8601102920215735,creciente,ALTA,2.579010649261422,2.4378517823639774,EXCESO,3.720403553337718,EXCESO,SEVERA,0.096,0.25,17.0,estable,2,2.1291155369965282,4,0
5,ANTIOQUIA,5628,SABANALARGA,0.06353591160220995,0.06543467521218478,1.0298848881222127,estable,BAJA,1.4778526229842823,0.30267558528428096,DEFICIT,0.742197183224452,DEFICIT,NORMAL,0.09183673469387756,0.0,1.0,estable,1,28.577597430533412,0,1
5,ANTIOQUIA,5631,SABANETA,0.116751269035533,0.2038200489275758,1.7457630277709753,estable,CRÍTICA,2.992666317443688,0.3294314381270903,DEFICIT,,sin_datos,MODERADA,0.10256410256410256,0.0,0.0,estable,1,7.790569588564413,2,1
5,ANTIOQUIA,5642,SALGAR,0.05344202898550725,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.06880733944954129,0.0,5.0,sin_datos,1,10.360855085560628,2,1
5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,0.037011651816312545,0.10031373711661178,2.7103285639469736,estable,ALTA,3.424882629107981,3.1175213675213675,EXCESO,3.1319516482661838,EXCESO,NORMAL,0.09876543209876543,0.08333333333333333,0.0,estable,1,19.114494376454317,0,0
5,ANTIOQUIA,5649,SAN CARLOS,0.06876790830945559,0.09252379288465912,1.345450154864418,estable,ALTA,1.160602503912363,1.5846688034188035,EXCESO,3.2775967077490846,EXCESO,MODERADA,0.10714285714285714,0.16666666666666666,1.0,estable,1,15.10373349649563,2,1
5,ANTIOQUIA,5652,SAN FRANCISCO,0.08,0.0477935180444141,0.9956982925919603,decreciente,BAJA,0.0,0.0,DEFICIT,,sin_datos,MODERADA,0.11290322580645161,0.0,1.0,estable,2,18.155416753265676,2,1
5,ANTIOQUIA,5656,SAN JERÓNIMO,0.10062893081761007,0.08654789689339043,2.0918810823593943,estable,ALTA,2.0425531914893615,1.0845608292416804,DEFICIT,0.8844798680514699,NORMAL,MODERADA,0.10416666666666667,0.09090909090909091,0.0,estable,2,17.34592531996182,2,0
5,ANTIOQUIA,5658,SAN JOSÉ DE LA MONTAÑA,0.037011651816312545,0.10031373711661178,2.7103285639469736,estable,ALTA,3.424882629107981,3.1175213675213675,EXCESO,3.1319516482661838,EXCESO,NORMAL,0.09876543209876543,0.08333333333333333,0.0,estable,1,13.734798678032451,0,0
5,ANTIOQUIA,5659,SAN JUAN DE URABÁ,0.06557377049180328,0.17455858273830624,5.411316064887494,estable,MODERADA,7.209302325581396,2.1379310344827585,EXCESO,,sin_datos,MODERADA,0.10377358490566038,0.0,1.0,estable,2,45.04708684726186,2,1
